kvartal,dy_obs,dc_obs,dinv_obs,dx_obs,dm_obs,pi_obs,dw_obs,i_R_obs,i_3m_obs,ds_obs,dpO_obs,dyS_obs,dh_obs,db_obs
2001-06-30,-0.013538684597808343,-0.00030138113006476265,-0.058163344910722795,-0.019906701682120526,-0.005870128290383596,0.022504992646787875,0.01371803319232133,0.011418118886390698,0.011410327515909697,-0.02716601521184776,0.045157270003506875,0.005543762330509014,0.004645267415383653,0.0041589637684621445
2001-09-30,-0.010070578196950637,-0.004332841670516211,0.03145320056718841,0.027932089826335188,-0.015182595665485315,-0.0648543579521533,0.014945996327848307,0.011418118886390698,0.011410327515909697,-0.004058184975801637,-0.08571364485096779,0.0038507747715364146,0.0047373270506954335,0.004336995863201911
2001-12-31,0.007003115815933752,0.004149086527918974,-0.15465279147702501,0.0012278029219659741,-0.0007649754687416733,-0.008297489848899525,0.014568506822938518,0.011203275136390696,0.011195483765909698,-0.008653723491601272,-0.27581629408772057,-0.0008122081840964856,0.0032023792894482483,0.0033782782559627095
2002-03-31,-0.0017542882204822537,0.006043049741590386,0.1388548988473486,-0.027003504389323224,-0.00999247464476584,-0.003236470611614445,0.01321128708027662,0.010168118886390697,0.010160327515909699,-0.023520197827649535,0.07495995607771909,-0.0022069294856539856,0.0003889713380296478,0.00155451151084607
2002-06-30,0.002344375743652021,-0.011545616035798326,0.033885559792880035,0.0014306954180339487,0.010238442419528633,5.148806176827336e-05,0.011879044314837203,0.010168118886390697,0.010160327515909699,-0.042577310691943995,0.16338033533707605,-0.0009148894048501855,-0.003392838174926166,-0.0008477984734721594
2002-09-30,-0.0029402633158693466,0.008967431000161915,-0.03015490885753476,-0.0013461071263373443,-0.029367723403313964,-0.027150811933590896,0.010732865267242361,0.011361300704572495,0.011353509334091521,-0.019340183822360756,0.058224621445336674,-0.0022890658047210856,-0.00813649914148315,-0.0038086129581659228
2002-12-31,-0.013697787238768983,0.0077520472626595085,-0.041601856414145114,-0.0009004894359931088,0.002083486690039089,0.023479895497829167,0.008263254137587425,0.011183743886390696,0.011175952515909698,-0.01454312689324051,-0.015658120390329336,-0.006245332060554986,-0.012103864934017022,-0.006435993546651473
2003-03-31,0.0021855741013786893,-0.0067421696061149925,-0.01982958367783834,-0.015352846218790546,-0.00949252657452883,0.08869245769677683,0.005312372939089913,0.00885859507686687,0.008850803706385897,0.030038101005716956,0.1537849516314905,-0.009112484831221485,-0.012222008445240878,-0.006801967773235716
2003-06-30,-0.002765035215848217,-0.002748192558414112,-0.024795556919558773,0.014277633754556788,-0.0061344433838083235,-0.09118005169306506,0.0027145167250980234,0.006659346956566122,0.006651555586085147,0.04608323520403283,-0.19530448994684405,-0.012354259546708886,-0.008190453333400044,-0.004642820327530493
2003-09-30,0.007245984300517632,0.0057854298650336835,0.012709423918627213,-0.024875735975381202,0.0066016392612401175,-0.04037632687600343,0.0005402834085211777,0.002421906765178572,0.002414115394697573,0.0321138427056538,0.07265841261037052,-0.007143425901524886,-8.797781080402411e-05,1.24165437076669e-06
2003-12-31,-0.009461313734904737,0.0051907872471161545,-0.020113913629842453,0.014142680360466812,-0.0038301328950513126,-0.003824509977220808,-0.002287196987148646,0.00010763501542294766,9.984364494197186e-05,-0.006698972501930366,0.023846473021923317,-0.006805112457737386,0.00851647800578495,0.004881167104755392
2004-03-31,0.028388208386150564,0.022616510949505973,0.06915346206767463,0.010899225792221216,0.03918548617025307,-0.017135587978365757,-0.004608348076417981,-0.0010330529886093025,-0.0010408443590903026,0.04475966076525299,0.07434013856225051,-0.005304576940671986,0.013152963202529594,0.0074309431138756005
2004-06-30,0.0005169787875480107,0.004332578672590478,0.012085269372542659,-0.0043952429356361195,0.013362014048472355,-0.0006652584021363539,-0.006408955820096721,-0.001706881113609302,-0.001714672484090303,-0.047354905454427956,0.09152594455427031,-0.004703101525569486,0.013609388657509075,0.007524737612495948
2004-09-30,0.006880199328543595,-0.004933767342087983,0.03300909547444224,-0.009455602554049676,0.019799789473338034,-0.025403181127149205,-0.007244527813793936,-0.001706881113609302,-0.001714672484090303,0.011504119891903298,0.14581500429154345,-0.006176195396222786,0.01078869926241846,0.005748766776071947
