kvartal,dy_obs,dc_obs,dinv_obs,dx_obs,dm_obs,pi_obs,dw_obs,i_R_obs,i_3m_obs,ds_obs,dpO_obs,dyS_obs,dh_obs,db_obs,pi_core_obs
2001-03-31,0.0007046130381143,-0.0695171176521532,-0.0189530699698184,-0.0074235689256599,-0.0076651117831726,0.0350306315106359,,0.0112647565086628,,,,0.0106594897102822,,0.0085751807031331,0.0357748852235851
2001-06-30,-0.0528259776779256,0.0198295407043137,-0.0505666294603755,-0.0698954728938424,-0.0016027051691715,0.022264881198214,,0.0112647565086628,,-0.015098557238513,0.0460777401437753,0.0067455026276845,,0.0100411386062993,0.0231812272047094
2001-09-30,-0.0111931109526492,0.0194948905242399,0.012071306126504,0.0472712957508904,0.0080237283120659,-0.0650944694007271,,0.0112647565086628,,-0.0138176792483059,-0.0847931747106992,0.0051684390732347,,0.0016249149558442,-0.0664701892065018
2001-12-31,0.0605200792549967,0.0355218274807168,-0.0131192963056235,0.0754399722046838,0.0060501487525708,-0.0085376012974733,,0.0110499127586628,,-0.0117885508145637,-0.2748958239474521,0.0008677614199423,,0.0076920056138443,-0.0098157621712431
2002-03-31,-0.0432933573777391,-0.0807162305367948,-0.0166624145136398,-0.1008262039251114,-0.0925864163990585,-0.0034765820601882,,0.0100147565086628,,-0.013820260119301,0.0758804262179875,-0.0009243935208573,,-0.0003450175233756,-0.0028092525191709
2002-06-30,0.0154943198659074,0.0260386063086962,-0.0491354643770185,0.030612395238062,0.1005316218836767,-0.0001886233868055,,0.0100147565086628,,-0.0514256151501796,0.1643008054773445,-0.0003620647955451,,0.0036812651262929,0.001751796243294
2002-09-30,-0.0261992331919982,0.0252318861047066,0.0257894711828041,-0.0418225891890496,-0.0439739994323961,-0.0273909233821646,,0.0112079383268447,,-0.0389172665300739,0.0591450915856051,-0.0003634533461227,,-0.0013470957350081,-0.0263527270096375
2002-12-31,0.0386148186408403,0.0435834714626562,0.066786196713014,0.0721527157409533,0.0091061844881284,0.0232397840492553,,0.0110303815086628,,-0.0175975339217843,-0.0147376502500608,-0.002892821385019,,0.0033649908971862,0.0201310333781777
2003-03-31,-0.0204469725379245,-0.0979709744191793,-0.0812321647111036,-0.0242977422490951,-0.064719798737967,0.088452346248203,,0.008705232699139,,0.0098048573845944,0.154705421771759,-0.0091479331054664,,-0.0001574424957231,0.0898859519339012
2003-06-30,-0.0350388295230468,0.0276991686522362,-0.1213278734313497,-0.0775090084041479,0.0116219542588243,-0.0914201631416388,,0.0065059845788383,,0.0339751728742286,-0.1943840198065755,-0.0128868279060665,,0.0026915273431049,-0.094253826008316
2003-09-30,0.0098272385308577,0.0358722347592345,0.1412979176611306,-0.0008967788578771,0.0419428537389055,-0.0406164383245772,,0.0022685443874507,,0.0385850907991215,0.073578882750639,-0.011008383386158,,-0.0010764845618529,-0.0354618896440363
2003-12-31,0.0458144340756581,0.0374086336768905,0.0546833153287768,0.1012568658071015,0.0042659774503178,-0.0040646214257946,,-4.5727362304861206e-05,,-0.0118488484619597,0.0247669431621918,-0.0092654927592257,,-3.4719901199159464e-05,-0.0034396073375048
2004-03-31,0.0013908028450062,-0.0631594863368515,0.017852389676596,-0.089717437737024,-0.0360654579282386,-0.0173756994269395,,-0.0011864153663371,,0.0344251459730698,0.075260608702519,-0.007879227751663,,0.0017634621783549,-0.0194585554681765
2004-06-30,-0.0337619743542765,0.0270408285132813,-0.0189172478932298,-0.0057617721783816,0.0437888994606666,-0.0009053698507101,,-0.0018602434913371,,-0.035360040695849,0.0924464146945388,-0.0063981138923978,,0.0034211535267465,-0.0013025326445336
2004-09-30,0.0108773948283795,0.0277971489741063,0.0424698044522277,0.0474333661800138,0.0585428514946354,-0.025643292575723,,-0.0018602434913371,,0.010444565339804,0.1467354744318119,-0.0086588217701628,,0.0026507348072793,-0.0262826077059407
2004-12-31,0.06339763496059,0.0171821635448886,0.1516039141637876,0.0522849916533371,0.0028491873326782,-0.0026648335945373,,-0.0018602434913371,,-0.0326752848996648,0.0523030539471583,-0.008911140723437,,0.0049045644101169,-0.0014180303514343
2005-03-31,-0.0558996813000733,-0.0731485139245978,-0.1302225149703864,-0.1596751129151229,-0.1126395737486469,-0.0272728799793326,,-0.0018602434913371,,0.0040476235790559,0.0749970443950317,-0.0112659423910053,,0.0055541512014356,-0.0285265438611403
2005-06-30,0.041771175300453,0.0617437337004095,0.0474215073546877,0.0576550874649652,0.1241669880260008,0.0199851212021323,,-0.0018602434913371,,-0.0176789327029255,0.0663715450050744,-0.0097414330791754,,0.0166651689090271,0.020851709603793
2005-09-30,-0.0278699725653614,0.0299326541928061,0.0231868911878014,0.0518980295846486,0.0321265309050047,-0.0159059630669708,,-0.0012352434913371,,-0.0173431033923784,0.1670507944331064,-0.007044873344687,,0.0098588746391626,-0.015103307806207
2005-12-31,0.0730269827151071,-0.0021142424344012,0.1349745817910965,0.0801480781337315,0.0125487257173425,0.0001807801646472,,-0.0008348528663371,,0.0023131081195285,-0.0887915970705403,-0.0047509471832818,,0.0187125304503743,-0.0040335717464187
2006-03-31,-0.0273602758103761,-0.0534608908084531,-0.067410170228156,-0.0842401493500414,-0.0799648128344831,-0.0111622658472618,,-0.0005044742605678,,0.018557686292847,0.0741121781065004,0.0005765974231344,,0.0148097223117693,-0.0107499500159348
2006-06-30,-0.0219029213667232,0.0487638506881315,-0.0028147201835564,-0.0461154524987076,0.0587168584574758,0.0253556424519126,,0.0002410496121111,,-0.0350976122002498,0.1083536232558993,0.0079789115095401,,0.0168760300865058,0.0264361350230757
2006-09-30,-0.0006352168424514,0.0226960674829016,0.0302236874293215,-0.0119073231802498,0.033311388135679,-0.0224162518831191,,0.0009474488163551,,0.0248196393256884,-0.0056134249983054,0.0094284611605466,,0.0188982458293856,-0.0218377177528487
2006-12-31,0.0877147513838165,0.0154567522933469,0.1085260154613274,0.0331853498967543,0.0646349186668647,0.0090793484340417,,0.0017607882546946,,0.0253193680889226,-0.1669978714867276,0.0159083690895289,,0.0179820428920261,0.0085300050523393
